hash,language,course,text
6216e949,es,spanish-bangla,"Colombia, colombiano, colombiana"
6256f550,de,german-bangla,"Ich gehe zum Bahnhof."
625fbe01,es,spanish-english,"yo"
62d264d5,de,german-bangla,"Sie fährt mit dem Fahrrad zur Arbeit."
62dc9b75,es,spanish-bangla,"el hermano, la hermana"
6321aa50,es,spanish-bangla,"Perdón"
63408ec0,de,german-bangla,"Mein Bauch tut weh."
63556509,de,german-bangla,"die Bauchschmerzen"
6386263b,de,german-bangla,"Heute ist Montag, der dritte M\xe4rz."
6499eb21,de,german-bangla,"Ich brauche dich."
64e11aa2,de,german-bangla,"Die Gewerkschaft schützt die Arbeitnehmer."
656d4352,de,german-bangla,"Ihre Wohnung ist sehr schön."
657428bf,es,spanish-bangla,"zeta"
66852b28,de,german-bangla,"500 Gramm Mehl"
66928138,de,german-bangla,"Guten Tag"
66d3257b,de,german-bangla,"die Umkleidekabine"
6722f4b6,es,spanish-bangla,"domingo"
6740c770,de,german-bangla,"die Handschuhe"
67435b3a,de,german-bangla,"der Kaffee"
6763f5f5,es,spanish-bangla,"seis"
6799a9e4,es,spanish-bangla,"ese"
67a99781,de,german-bangla,"das Mädchen"
682078c5,de,german-bangla,"Herzlichen Glückwunsch zur Hochzeit!"
6820c118,de,german-bangla,"Wir hätten gern zwei Stück Kuchen."
6826578e,es,spanish-bangla,"Diego, ¿cómo es tu profesor de español? Es simpático y muy inteligente. También es alto y delgado. ¿Y la profesora de matemáticas? Es seria pero trabajadora. Es baja. ¿Y tú? ¿Cómo eres? Soy divertido y un poco tímido."
6843ec59,es,spanish-bangla,"Mucho gusto"
685c4507,de,german-bangla,"der Sommer"
68a53c4c,de,german-bangla,"die Mode"
68f4b7ca,de,german-bangla,"die Hose"
690e1800,de,german-bangla,"Ich möchte das Hemd anprobieren."
6920f410,de,german-bangla,"die Tablette"
6931d25f,es,spanish-bangla,"el día"
69596906,de,german-bangla,"Eine WG ist günstiger."
698e7417,de,german-bangla,"eng"
69963684,de,german-bangla,"Mir ist schwindelig."
69dd68ac,de,german-bangla,"Ich möchte das zurückgeben."
6a1b3d74,de,german-bangla,"Ist hier noch frei?"
6a1f8d5f,es,spanish-bangla,"delgado, delgada"
6a378e6e,de,german-bangla,"Ich habe Fieber."
6ae022de,es,spanish-bangla,"el problema"
6aeb3af8,de,german-bangla,"der Herbst"
6b7624ef,de,german-bangla,"ich nicht Mädchen"
6b8e773d,es,spanish-bangla,"ene"
6bc6a8d1,de,german-bangla,"Bis bald!"
6be02e6f,es,spanish-bangla,"cinco"
6bed91f2,es,spanish-english,"zapato"
6c1dee80,de,german-bangla,"Ich musste den Koffer holen."
6c3e5e0a,de,german-bangla,"bunt"
6c689454,de,german-bangla,"Wo ist die Umkleidekabine?"
6c77fad5,de,german-bangla,"das Zimmer"
6d184e99,de,german-bangla,"Ich bin krank"
6d5af580,de,german-bangla,"der Rücken"
6e1f192d,de,german-bangla,"der Verkäufer"
6e438dce,de,german-bangla,"Ich habe gegessen."
6e5656cb,de,german-bangla,"braten"
6ed43e1c,de,german-bangla,"sich bewerben"
6f92c1d2,es,spanish-bangla,"Ahora estoy en la clase."
6fb084c5,de,german-bangla,"eins mein nein"
6fe0962b,de,german-english,"üpsilon"
701d30d5,de,german-bangla,"der Trainer"
70417610,es,spanish-bangla,"Me llamo Ana."
708a4b61,de,german-bangla,"die Tracht"
70cf6922,de,german-bangla,"der Ingenieur"
711971ef,es,spanish-bangla,"contento, contenta"
7149e919,de,german-bangla,"Der Urlaub war wunderschön."
714a1464,de,german-bangla,"Ich habe starke Schmerzen."
7165b0c8,de,german-bangla,"Der Zug fährt von Gleis fünf ab."
71d001eb,de,german-bangla,"Ich gehe zweimal pro Woche schwimmen."
71dcaeea,de,german-bangla,"die Parade"
72315fdc,de,german-bangla,"lesen"
727e7677,de,german-bangla,"Diese Jacke ist billiger als jene."
729cf6f4,de,german-bangla,"hinzufügen"
72a21df2,de,german-bangla,"der Glückwunsch"
72ca3fd1,de,german-bangla,"blau"
72d21570,de,german-bangla,"abbiegen"
732e93e7,es,spanish-bangla,"en la clase"
737afd98,de,german-bangla,"rot, blau, grün, gelb"
73826ad8,de,german-bangla,"Wie"
73e65643,de,german-bangla,"Was willst du machen?"
73f9873d,de,german-bangla,"Ich reise am liebsten."
743beaf7,de,german-bangla,"durstig"
745a47c2,de,german-bangla,"Ich kaufe Second-Hand, weil es billiger ist."
74765d34,de,german-bangla,"Er kauft das Brot."
74fea6f7,de,german-bangla,"gelb"
7515743c,de,german-bangla,"die Grippe"
751a0716,de,german-bangla,"Ich räume mein Zimmer auf."
7520521d,es,spanish-bangla,"Me llamo Rahim."
75d8641f,de,german-bangla,"Hast du Lust, heute Abend ins Kino zu gehen?"
7605cfec,es,spanish-bangla,"Hasta mañana"
760a372a,de,german-bangla,"Wir fahren am Wochenende Rad."
76268809,es,spanish-bangla,"Los estudiantes son jóvenes."
76955094,de,german-bangla,"Das ist am schönsten."
76dd5843,de,german-bangla,"der Biergarten"
7776402f,es,spanish-bangla,"diecisiete"
77cf4dfa,de,german-bangla,"Wir feiern meinen Geburtstag am Samstag."
77da541e,de,german-bangla,"Ich schwimme nicht gern."
781b0058,de,german-bangla,"billig"
7825acc3,de,german-bangla,"Welche"
782e121d,es,spanish-bangla,"ocupado, ocupada"
7853b941,de,german-bangla,"einschlafen"
78738a4c,de,german-bangla,"die Allergie"
7908fca0,de,german-bangla,"das Bett"
790fb80f,de,german-bangla,"das Lied"
791053c2,de,german-bangla,"der Schnupfen"
79131d04,de,german-bangla,"der Urlaubstag"
7915e515,de,german-bangla,"Das Rathaus ist neben dem Park."
794fa11a,de,german-bangla,"Du musst jetzt gehen."
796eec92,de,german-bangla,"Was"
7a0e3dc3,es,spanish-bangla,"México, mexicano, mexicana"
7a210055,de,german-bangla,"Ich esse gern Äpfel und Bananen."
7a2b25ee,de,german-bangla,"stark"
7b1200d1,de,german-bangla,"Wir entspannen am Wochenende."
7b530408,de,german-bangla,"Wie geht es dir?"
7b737722,de,german-bangla,"Ich habe Kopfschmerzen."
7b7975b5,es,spanish-bangla,"efe"
7b8abed6,es,spanish-bangla,"eme"
7ba3e4cf,de,german-bangla,"über"
7ba601b5,de,german-bangla,"Wir sind nach Berlin gefahren."
7ba9fe25,es,spanish-bangla,"Los estudiantes son inteligentes."
7ca7d6cb,es,spanish-bangla,"Mi amiga es simpática y divertida."
7d1bf819,de,german-bangla,"Ich arbeite als Ingenieur."
7d2e095f,de,german-bangla,"Ich bewerbe mich, weil ich die Firma mag."
7d8f6303,de,german-bangla,"Ich komme aus..."
7d9b99f9,es,spanish-bangla,"el tío, la tía"
7da78916,de,german-bangla,"Man darf hier nicht rauchen."
7e0ad104,de,german-bangla,"eins"
7e652f5b,de,german-bangla,"Montag · Dienstag · Mittwoch"
7ea556ef,de,german-bangla,"Ich möchte die Speisekarte, bitte."
7eb15c27,de,german-bangla,"Warum"
7eb6f6c7,de,german-bangla,"Haben Sie das in Rot?"
7ec3f87f,de,german-bangla,"Es hat einen Fehler."
7ef17eac,de,german-bangla,"mein"
7f06283c,de,german-bangla,"Unser Trainer ist sehr streng."
7f149095,de,german-bangla,"Ich mag kein Fleisch."
7f295192,de,german-bangla,"Doch, ich mag ihn!"
7f487561,de,german-bangla,"Ich habe kein Auto."
7f8e73d3,es,spanish-bangla,"la pizarra"
7fa7bb7f,de,german-bangla,"entspannen"
7fcf653f,de,german-bangla,"er würde gern"
7fe16176,de,german-bangla,"wir würden gern"
80666983,de,german-bangla,"Ich möchte ein Zimmer reservieren."
806ed2a3,de,german-bangla,"Sie wohnt seit zwei Monaten in Berlin."
80ab3644,de,german-bangla,"der Actionfilm"
80adf6d1,de,german-bangla,"Sie geht gern ins Theater."
80baa194,de,german-bangla,"Wie wäre es mit Samstag?"
80ee4c64,de,german-bangla,"die Ankunft"
811c9dc5,es,spanish-bangla,""
812e6d25,de,german-bangla,"Wir sind mit dem Zug gefahren."
81fa6638,de,german-bangla,"warm"
8209a4ae,de,german-bangla,"hässlich"
82317395,de,german-bangla,"untersuchen"
823db0d9,de,german-bangla,"Sie hat ein Buch."
82646d61,de,german-bangla,"Wer"
82a70d64,de,german-bangla,"die Socken"
82bbc805,de,german-bangla,"das Wohnzimmer"
82cf2248,de,german-bangla,"Mein Flug hat Verspätung."
830a7cdf,de,german-bangla,"braun"
8453a46f,es,spanish-bangla,"un cuaderno"
845b3d05,de,german-bangla,"zwanzig"
846792e1,de,german-bangla,"die Sprache"
8473d0d6,de,german-bangla,"der Tag der Deutschen Einheit"
84775603,de,german-bangla,"Ich fahre mit dem Bus."
84c05134,es,spanish-bangla,"Encantado."
850756ab,de,german-bangla,"das Rathaus"
8528be1c,es,spanish-bangla,"el libro"
853009ba,es,spanish-bangla,"Sí"
857456c7,de,german-bangla,"der Trend"
8598456e,es,spanish-bangla,"Los estudiantes están tristes."
85a329c7,de,german-bangla,"der Schlussverkauf"
86d4a3d5,de,german-bangla,"Wann kann ich einziehen?"
8739e16d,de,german-bangla,"Das klingt gut!"
878beb00,es,spanish-bangla,"fuerte"
87a6aba3,es,spanish-english,"joven"
87c8ce49,de,german-bangla,"der Kellner"
87ede582,de,german-bangla,"ihr"
88064f71,de,german-bangla,"Jede Region hat ihre eigenen Bräuche."
8809996e,de,german-bangla,"Man muss den Müll trennen."
88139762,de,german-bangla,"größer als"
88959b9b,de,german-bangla,"Ich komme aus Bangladesch."
890e765e,de,german-bangla,"Diese Farbe gefällt mir."
89235083,de,german-bangla,"die Gewerkschaft"
892870cc,de,german-bangla,"Hast du Lust, ins Kino zu gehen?"
893c8d8d,de,german-bangla,"Ich fahre mit dem Zug nach Berlin."
8967f55e,de,german-bangla,"zumachen"
8987534d,de,german-bangla,"der Termin"
89c934e4,de,german-bangla,"entdecken"
8a3dede9,de,german-bangla,"Ihre Hände sind kalt."
8a444cd0,de,german-bangla,"die Temperatur"
8a7ef05a,de,german-bangla,"zehn"
8a99b17e,de,german-bangla,"die Krankenkasse"
8ace36bb,es,spanish-bangla,"miércoles"
8ad295f4,es,spanish-bangla,"Buenas tardes"
8ae18ae1,es,spanish-bangla,"Él es profesor."
8b1dd7d1,de,german-bangla,"der Feiertag"
8b5efe46,de,german-bangla,"die Einladung"
8b71537a,de,german-bangla,"Ich muss jetzt arbeiten."
8b764d63,es,spanish-bangla,"las profesoras"
8b92e485,es,spanish-bangla,"Bien, gracias"
8ba63b0e,de,german-bangla,"Ich arbeite als Lehrerin."
8bc40d31,de,german-bangla,"fünfzehn"
8bf15705,es,spanish-bangla,"Soy bangladesí."
8c1e4cca,de,german-bangla,"das Haus"
8c304b69,de,german-bangla,"der Preis"
8c45a911,de,german-bangla,"schwarz"
8c9634ea,de,german-bangla,"Im Winter ist es kalt."
8cd08c2e,de,german-bangla,"verwirklichen"
8ce5c85e,de,german-bangla,"der Supermarkt"
8cf49d8b,de,german-bangla,"gesund"
8d03d4d4,de,german-bangla,"einmal pro Woche"
8d25ec77,de,german-english,"vau"
8d309647,de,german-bangla,"die Rezeption"
8d481700,de,german-bangla,"Kinder"
8d5a0231,es,spanish-bangla,"las ciudades"
8d8b99f7,de,german-bangla,"Das Bett steht neben dem Fenster."
8d8ff9b7,de,german-bangla,"z wie in Zeit"
8d946aff,de,german-bangla,"der Schal"
8e1295ab,de,german-bangla,"mit dem Bus fahren"
8e23b423,de,german-bangla,"Danach ziehe ich mich an."
8e36aaf6,de,german-bangla,"Wir brauchen Zucker und Salz."
8f24c17c,de,german-bangla,"die Kamera"
8f58225e,de,german-bangla,"Ich bin Lehrer."
8f634f6e,de,german-bangla,"Ich habe fünf Jahre Erfahrung."
8f94fa27,es,spanish-bangla,"simpático, simpática"
8ff55ba9,de,german-bangla,"zweimal pro Woche"
90231e2d,es,spanish-bangla,"Carmen está enferma."
90285408,de,german-bangla,"unser"
90cb7651,de,german-bangla,"die Arbeitszeit"
90fb6921,es,spanish-bangla,"el lápiz, los lápices"
9188b0c4,es,spanish-bangla,"once"
91908079,de,german-bangla,"genau richtig"
91a8f50c,de,german-bangla,"Unser Haus hat einen Garten."
91d7e8f5,es,spanish-bangla,"¡Hola, Pedro! ¿Qué tal? ¡Hola, Ana! Bien, gracias. ¿Y tú? Muy bien, gracias. Bueno, hasta luego. Hasta luego. ¡Hasta mañana!"
91e4b140,de,german-bangla,"das Krankenhaus"
9215914d,de,german-bangla,"Die Kinder spielen im Garten."
92711272,de,german-bangla,"der Stuhl"
92a01ee6,es,spanish-bangla,"catorce"
932d8f14,de,german-bangla,"das Spiel"
933793da,de,german-bangla,"Was wirst du in der Zukunft machen?"
933c72ca,de,german-bangla,"abfahren"
9367236e,de,german-bangla,"die Verabredung"
93a3bdfa,de,german-bangla,"die Hand"
93b3cb46,de,german-bangla,"die Mannschaft"
941def6d,es,spanish-bangla,"Buenas noches"
9468fa60,de,german-bangla,"Ich spiele jeden Montag Tennis."
94a165c0,de,german-bangla,"der Kuchen"
94baee84,de,german-bangla,"Berlin ist bekannt für Mode."
94bd0eb1,de,german-bangla,"der Feierabend"
94c642c7,de,german-bangla,"das Bein"
94ca2f9d,de,german-bangla,"seit einem Jahr"
94f5189d,es,spanish-bangla,"Soy bangladesí y soy estudiante."
94fc9d86,es,spanish-bangla,"La comida está buena."
951524c3,de,german-bangla,"auschecken"
952632df,de,german-bangla,"die Miete"
95b3e88f,de,german-bangla,"frei"
95c891b2,de,german-bangla,"Bücher"
96057591,es,spanish-bangla,"Somos de España."
966a8079,de,german-bangla,"Du solltest weniger Zucker essen."
966c87f9,de,german-bangla,"kleiner"
967469ef,de,german-bangla,"spielen"
969cbd3f,es,spanish-bangla,"No sé"
96c5674a,de,german-bangla,"die Limonade"
96e7e204,de,german-bangla,"das Fieber"
9723d37f,de,german-bangla,"Die Hose ist zu eng."
976273d3,es,spanish-bangla,"la mesa, las mesas"
9767c255,de,german-bangla,"der Fisch"
97d4164b,de,german-bangla,"Ich kaufe den Pullover."
983c884c,de,german-bangla,"Sie ist Ärztin."
987b8544,de,german-bangla,"euer"
9893d879,de,german-bangla,"Es ist windig"
9899a52e,de,german-bangla,"bezahlen"
98aa83dd,de,german-bangla,"Ich bin zwanzig Jahre alt."
98ab5657,de,german-bangla,"Es war wunderschön."
98dbac97,de,german-bangla,"April"
98e080f4,de,german-bangla,"das Mitglied"
98f4bc0a,de,german-english,"iks"
98fa7ded,de,german-bangla,"Ich arbeite vierzig Stunden pro Woche."
990a8da0,de,german-bangla,"die Praxis"
99163048,de,german-bangla,"Die Temperatur ist zwanzig Grad."
99665e06,de,german-bangla,"die Qualität"
999d5f4a,de,german-bangla,"frisch"
99e0622b,es,spanish-bangla,"Gracias"
99ed3f55,es,spanish-bangla,"Mucho gusto."
9a30d68d,es,spanish-bangla,"el cuaderno"
9ab5f320,es,spanish-bangla,"¿Cómo se llama usted?"
9abc0f7f,de,german-bangla,"Ich habe drei Jahre Erfahrung."
9ad870c7,es,spanish-bangla,"¿Cómo te llamas?"
9b368a6d,de,german-bangla,"Ich heiße... und ich komme aus..."
9b981d90,de,german-bangla,"umtauschen"
9bb5bb05,de,german-bangla,"der Vermieter"
9bccec28,de,german-bangla,"Haben Sie etwas gegen Husten?"
9bd13aa8,de,german-bangla,"Ich habe Hunger."
9bdebc26,de,german-bangla,"gewinnen"
9bdef561,es,spanish-bangla,"estudiante"
9c05c02c,de,german-english,"Eszett"
9c1f5552,de,german-bangla,"einundzwanzig"
9c3ba7c2,es,spanish-bangla,"¿Qué tal?"
9c57963c,es,spanish-bangla,"¿De dónde eres?"
9c9783b8,de,german-bangla,"Wir haben drei zu eins gewonnen."
9cbebb9e,es,spanish-bangla,"Me llamo Ana"
9cd73696,de,german-bangla,"einchecken"
9d0c242a,es,spanish-bangla,"Soy inteligente"
9d25ec61,de,german-bangla,"Die Geschäfte sind am Sonntag geschlossen."
9d2bbd63,de,german-bangla,"Tut mir leid, ich muss absagen."
9d3178d9,es,spanish-bangla,"No soy médico."
9d41aa8b,de,german-bangla,"Wir kaufen Lebensmittel ein."
9daad82f,de,german-bangla,"billiger"
9ddd451c,de,german-bangla,"Seit wann spielst du Fußball?"
9deb3f91,es,spanish-bangla,"amigo, amiga"
9e41c0b7,es,spanish-bangla,"aburrido, aburrida"
9e6475e1,de,german-bangla,"lernen"
9e843bbf,es,spanish-bangla,"serio, seria"
9f02b107,de,german-bangla,"Hallo"
9f11e5c4,de,german-bangla,"Alles Gute zum Geburtstag!"
9f253efd,es,spanish-english,"casa"
9f355c88,de,german-bangla,"ä wie in Mädchen"
9f5d52a2,de,german-bangla,"Student stehen Straße"
9fc74849,de,german-bangla,"Meine Beine schmerzen."
9fef63b1,es,spanish-bangla,"Año"
a04c0fda,de,german-bangla,"Wann fährt der nächste Zug?"
a050ca4a,de,german-bangla,"du würdest gern"
a087f467,de,german-bangla,"Viele junge Leute bleiben in Jugendherbergen."
a08c7918,de,german-bangla,"die Reklamation"
a1283b16,es,spanish-bangla,"Igualmente."
a12ce772,de,german-bangla,"die Nase"
a141d57e,de,german-bangla,"ein schöner Rock"
a14a138f,es,spanish-bangla,"Las profesoras son trabajadoras."
a1679ce4,de,german-bangla,"Es war ein unvergesslicher Abend."
a1809530,de,german-bangla,"Was machst du?"
a18e3a68,de,german-bangla,"ß wie in Straße"
a1a3a604,de,german-bangla,"die Sehenswürdigkeit"
a1ab074c,de,german-bangla,"Wir hatten einen tollen Geburtstag."
a1c41039,de,german-bangla,"der Balkon"
a2785572,de,german-bangla,"vegan"
a28074b4,de,german-bangla,"Ich habe Fieber"
a29dbdf9,de,german-bangla,"der Hustensaft"
a2a5b2d9,de,german-bangla,"der Reis"
a2bfac8e,es,spanish-bangla,"los lunes"
a32b8fb3,de,german-bangla,"Ich spiele seit drei Jahren Tennis."
a32e2529,de,german-bangla,"die Häuser"
a380d9af,de,german-bangla,"Wie fühlst du dich heute?"
a3de4d8f,de,german-bangla,"Oktober"
a3e6c90c,de,german-bangla,"der Apfel"
a40d2f92,de,german-bangla,"der Programmierer"
a429c126,de,german-bangla,"Ich habe Fieber und Husten."
a48297e6,de,german-bangla,"passt nicht"
a49e7c8e,de,german-bangla,"Ich habe heute viel gearbeitet."
a4d52acb,es,spanish-bangla,"uve doble"
a4ecde8e,es,spanish-bangla,"la ciudad, las ciudades"
a56b549d,de,german-bangla,"der Arzt"
a57be7e1,de,german-bangla,"Wie schreibt man das?"
a5a8ee4b,es,spanish-bangla,"Hoy estoy contenta y estoy en casa."
a5dc6062,de,german-bangla,"der Liter"
a601d644,de,german-bangla,"die Milch"
a64d2e46,es,spanish-bangla,"la hermana"
a6653c10,de,german-bangla,"mein Zimmer"
a676b905,de,german-bangla,"die Party"
a682f52f,de,german-bangla,"möbliert"
a6bc2cdc,de,german-bangla,"seit letztem Jahr"
a6e238b5,de,german-bangla,"Mein Kopf tut weh."
a6f291ac,de,german-bangla,"die Qualifikation"
a719c402,de,german-bangla,"der Stil"
a73f415e,es,spanish-bangla,"Rahim es trabajador."
a753578a,de,german-bangla,"Im Sommer ist es sehr hei\xdf."
a76ea8e7,es,spanish-bangla,"enfermo, enferma"
a77e48a6,es,spanish-bangla,"el profesor, los profesores"
a7940f84,de,german-bangla,"ein Kilo Kartoffeln"
a7967b65,de,german-bangla,"Donnerstag · Freitag"
a7d5d203,de,german-bangla,"Ich bin fünfundzwanzig Jahre alt."
a7ed4855,de,german-bangla,"Ich wohne in Berlin."
a8bad0c9,de,german-bangla,"Ich kann Deutsch sprechen."
a93de39c,de,german-bangla,"vorhaben"
a96362c5,de,german-bangla,"nächstes Jahr"
a97693eb,es,spanish-bangla,"el abuelo, la abuela"
a98844ed,de,german-bangla,"der Flur"
a9dd10c6,de,german-bangla,"das Brot"
a9ee122b,de,german-bangla,"Ich mache jetzt eine Pause."
aa00cce7,es,spanish-english,"mesa"
aa347248,de,german-bangla,"Viele Studenten leben in einer WG."
aa47f655,de,german-bangla,"die Nachricht"
aa5005b9,es,spanish-bangla,"el bebé"
aa7c63fc,de,german-bangla,"das Konzert"
aac02d81,de,german-bangla,"Lust haben"
ab55956a,de,german-bangla,"Beim Karneval gibt es viele Paraden."
ab853eda,de,german-bangla,"lieber"
abb5f5ff,de,german-bangla,"die Straßenbahn"
abe4e4b7,de,german-bangla,"der Tisch"
ac859d7d,es,spanish-bangla,"el examen, los exámenes"
aca02d19,es,spanish-bangla,"Buenos días"
acfef440,de,german-bangla,"Frauen"
ad0b5f1d,de,german-bangla,"die Zeitung"
ad3e2556,de,german-bangla,"geradeaus"
ad6d5821,es,spanish-bangla,"El profesor es bueno."
ad8b30aa,de,german-bangla,"die Stelle"
ad8b9ed4,de,german-bangla,"eine warme Jacke"
adceefb5,de,german-bangla,"die Zwiebel"
addbf0b1,de,german-bangla,"hungrig"
adec3010,es,spanish-bangla,"Muchas gracias"
ae0fa8d5,es,spanish-bangla,"La mesa es de madera"
ae1070f9,de,german-bangla,"die Bank"
ae1f2fdb,de,german-bangla,"Ich esse immer Brötchen zum Frühstück."
ae25939e,de,german-bangla,"Ich sehe keinen Mann."
ae8b77d9,es,spanish-bangla,"la ventana"
ae9aa0b6,de,german-bangla,"grau"
aeab1630,es,spanish-bangla,"Bangladés, bangladesí"
af36a7ae,es,spanish-bangla,"los Estados Unidos"
af5664c3,de,german-bangla,"Das Training ist dienstags."
af68012d,de,german-bangla,"schöner"
af8676ba,de,german-bangla,"sich anziehen"
afa321fc,de,german-bangla,"wie nie viel"
afccbd36,de,german-bangla,"Das Fest wird jedes Jahr gefeiert."
afd24e22,de,german-bangla,"Ich sollte mehr Wasser trinken."
aff43c6d,de,german-bangla,"dein"
b021de2a,de,german-bangla,"der Arm"
b0252e7e,de,german-bangla,"der Käse"
b02a72e0,de,german-bangla,"zu groß"
b0ac778e,de,german-bangla,"die Wanderung"
b0f0e4db,de,german-bangla,"Ich habe keine Zeit."
b0f83203,de,german-bangla,"machen"
b15b05e1,de,german-bangla,"Second-Hand"
b16ba8e4,de,german-bangla,"Ich würde gern im Ausland arbeiten."
b1a83b83,de,german-bangla,"Hast du geschlafen?"
b1b78db0,de,german-bangla,"das Eis"
b1c5d2be,es,spanish-bangla,"Vosotros estáis ocupados."
b1fad699,de,german-bangla,"satt"
b21637ae,de,german-bangla,"die Krankenversicherung"
b27d59ce,es,spanish-bangla,"el hermano"
b2c65197,es,spanish-english,"hola"
b2f03691,es,spanish-bangla,"pero"
b2f6e275,de,german-bangla,"der Brauch"
b3798ae0,de,german-bangla,"Ich komme nicht."
b39ebce1,es,spanish-english,"examen"
b3a56473,es,spanish-english,"Hola, me llamo Ana. A, ene, a. Hola!"
b3f0f737,de,german-bangla,"einladen"
b419eb0f,de,german-english,"tse"
b437b8fd,de,german-bangla,"Dann dusche ich mich."
b44c9b46,de,german-bangla,"die Musik"
b467da56,es,spanish-bangla,"en casa"
b470c778,de,german-bangla,"das Wasser"
b4a9a0c9,de,german-bangla,"die Erfahrung"
b5038273,de,german-english,"Buch"
b51cce0d,de,german-bangla,"seit der Kindheit"
b5403387,de,german-bangla,"die Ecke"
b55f466e,es,spanish-bangla,"Es listo."
b5b2fa52,es,spanish-bangla,"Encantado"
b5c2caab,de,german-bangla,"wärmer"
b643de35,de,german-bangla,"Das Kleid ist sehr schön."
b6851bf1,de,german-bangla,"die Komödie"
b69a26d4,de,german-bangla,"Ich gehe heute Abend ins Kino."
b6c90fbc,de,german-bangla,"das Schiff"
b6e71f0b,es,spanish-bangla,"¿Dónde está el libro?"
b6f1a396,de,german-bangla,"die Dose"
b7107f24,de,german-bangla,"die Band"
b7835f75,de,german-bangla,"Mein Kopf tut mir weh."
b7958c56,de,german-bangla,"obwohl"
b7b2fd78,es,spanish-bangla,"Encantada"
b7d60b0d,de,german-bangla,"in fünf Jahren"
b846888a,es,spanish-bangla,"unas sillas"
b85aa1de,de,german-bangla,"traditionell"
b8612a52,de,german-bangla,"verkleiden"
b8aa7845,de,german-bangla,"die Butter"
b9238a0e,de,german-bangla,"Wir trainieren zweimal pro Woche."
b93aa014,de,german-bangla,"oft"
b96281a2,de,german-bangla,"der Keks"
b97b15ea,de,german-bangla,"Bach auch Buch"
b992a7ff,de,german-bangla,"die Vorspeise"
b9a792e6,es,spanish-bangla,"Estoy cansado."
ba19e111,de,german-bangla,"Auf Wiedersehen!"
ba59a528,de,german-bangla,"Der Maibaum wird aufgestellt."
bacf49b3,de,german-bangla,"einkaufen"
badc501a,de,german-bangla,"Die meisten Deutschen haben dreißig Urlaubstage."
bb035bfc,de,german-bangla,"Ich erhole mich von der Erkältung."
bbf580d2,de,german-bangla,"schwindelig"
bc1f7c4e,de,german-bangla,"klein"
bc1fe771,de,german-bangla,"das Yoga"
bc533443,de,german-bangla,"Wo wohnst du, und was machst du?"
bc7b30e4,de,german-bangla,"die Quittung"
bc8ec6ea,de,german-bangla,"die Ampel"
bca122ca,de,german-bangla,"Der Teppich liegt auf dem Boden."
bcd1c1f3,de,german-bangla,"jeden Tag"
bd22b027,es,spanish-english,"nada"
bd83e9ee,es,spanish-english,"isla"
be085f75,de,german-bangla,"schwarz und weiß"
bead9c7a,de,german-bangla,"Für wie viele Nächte möchten Sie bleiben?"
bf3998a3,de,german-bangla,"Es donnert"
bf577e5c,de,german-bangla,"der Zucker"
bf5f278c,es,spanish-bangla,"los hermanos"
bf6b09d3,de,german-bangla,"der Vertrag"
bf735af0,es,spanish-bangla,"Carmen es española."
c04529c3,de,german-bangla,"verabreden"
c0c0723b,de,german-bangla,"Kann ich das anprobieren?"
c0d5297d,es,spanish-bangla,"el primo, la prima"
c11547dd,de,german-bangla,"Wir haben gewonnen!"
c14e09a9,de,german-bangla,"der Knödel"
c15de1b7,es,spanish-bangla,"¿Cómo estás?"
c1999338,es,spanish-bangla,"España, español, española"
c1b4be9b,de,german-bangla,"Leider muss ich absagen."
c1c32a9f,de,german-bangla,"das Foto"
c1f3bfa2,es,spanish-bangla,"sábado"
c20f40e0,es,spanish-english,"kilo"
c23f9413,de,german-bangla,"Wie heißt euer Hund?"
c2801e4e,es,spanish-bangla,"diecinueve"
c286420b,de,german-bangla,"der Husten"
c2d1235e,de,german-bangla,"die Packung"
c2eb5c09,de,german-bangla,"Wir erstatten Ihnen das Geld."
c333a547,de,german-bangla,"vierzig"
c36be6b8,es,spanish-bangla,"Yo soy Ana."
c3b07d99,de,german-bangla,"der Garten"
c42f7835,de,german-bangla,"Sport sprechen Sprache"
c431b709,es,spanish-english,"ojo"
c45c7b3b,de,german-bangla,"Wir haben eine Wohnung mit Balkon."
c46c3932,de,german-bangla,"herzlich"
c4b63f4f,es,spanish-bangla,"guapo, guapa"
c4e84b2a,de,german-bangla,"Füge ein bisschen Salz hinzu!"
c4ea731f,de,german-bangla,"Autos"
c5065250,de,german-bangla,"Gute Nacht"
c5a937ea,de,german-bangla,"Biegen Sie links ab."
c5b844f8,de,german-bangla,"zu spät"
c5cc0c2c,de,german-bangla,"der Schmerz"
c5db54a5,es,spanish-bangla,"jota"
c5db6c9d,es,spanish-bangla,"Jamón"
c5e61cd7,de,german-bangla,"das Salz"
c5f4cabe,de,german-bangla,"das Schloss"
c66a3993,es,spanish-bangla,"¡Hola! Buenos días. ¡Hola! ¿Cómo te llamas? Me llamo Sofía. ¿Y tú? Me llamo Diego. Mucho gusto. Encantada. ¿De dónde eres? Soy de Argentina. Soy argentino. ¿Y tú? Yo soy de España. Soy española. Soy profesora. ¡Qué bien! Yo soy estudiante. Bueno, hasta luego. Hasta luego, Diego."
c6767814,de,german-bangla,"die Warmmiete"
c6ac5eef,de,german-bangla,"das Abendessen"
c7033c80,es,spanish-bangla,"¿Puedo ir al baño?"
c7068644,de,german-bangla,"Ist das deine Familie?"
